id,navn,fylke,kommune,addresse,aapningstider,lat,lon,url,sistEndret
66520,Rud skole,Akershus,Rælingen,"Skolevegen 22, 2005 Rælingen","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.945614,11.04303,http://valglokaler.no/valglokale/rud-skole/,2015-06-30
66521,Løvenstad skole,Akershus,Rælingen,"Løvenstadvegen 7, 2006 Løvenstad","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.936620,11.027846,http://valglokaler.no/valglokale/lovenstad-skole/,2015-07-03
66522,Fjerdingby skole,Akershus,Rælingen,"Haugerveien 27, 2008 Fjerdingby","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.923743,11.068897,http://valglokaler.no/valglokale/fjerdingby-skole/,2015-06-30
66523,Nordby skole,Akershus,Rælingen,"Tomterstien 33, 2009 Nordby","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.865569,11.09418,http://valglokaler.no/valglokale/nordby-skole/,2015-06-30
66525,Volla skole,Akershus,Skedsmo,"Nittedalsgata 59, 2000 Lillestrøm",14.09.2015: kl 09:00-21:00,59.958664,11.040824,http://valglokaler.no/valglokale/volla-skole/,2015-06-30
66527,Skedsmo rådhus,Akershus,Skedsmo,"Jonas Lies gate 18, 2000 Lillestrøm",14.09.2015: kl 09:00-21:00,59.954699,11.039522,http://valglokaler.no/valglokale/skedsmo-radhus/,2015-06-30
66528,Vigernes skole,Akershus,Skedsmo,"Vigernesgata, 2004 Lillestrøm",14.09.2015: kl 09:00-21:00,59.955977,11.071837,http://valglokaler.no/valglokale/vigernes-skole/,2015-06-30
66529,Sten-Tærud skole,Akershus,Skedsmo,"Gjoleidveien 21, 2019 Skedsmokorset",14.09.2015: kl 09:00-21:00,59.996948,11.040316,http://valglokaler.no/valglokale/sten-taerud-skole/,2015-06-30
66530,Brånås skole,Akershus,Skedsmo,"Brånåsveien 42, 2019 Skedsmokorset",14.09.2015: kl 09:00-21:00,59.999158,11.02272,http://valglokaler.no/valglokale/branas-skole/,2015-06-30
66531,Stav skole,Akershus,Skedsmo,"Øvre Ryensvei 46, 2013 Skjetten",14.09.2015: kl 09:00-21:00,59.964119,10.999632,http://valglokaler.no/valglokale/stav-skole/,2015-06-30
66532,Gjellerås skole,Akershus,Skedsmo,"Karisveien 18, 2013 Skjetten",14.09.2015: kl 09:00-21:00,59.966053,11.00087,http://valglokaler.no/valglokale/gjelleras-skole/,2015-06-30
66533,Strømmen bibliotek,Akershus,Skedsmo,"Støperiveien 28, 2010 Strømmen",14.09.2015: kl 09:00-21:00,59.948316,11.009872,http://valglokaler.no/valglokale/strommen-bibliotek/,2015-06-30
66534,Asak skole,Akershus,Skedsmo,"Branderudveien 91, 2015 Leirsund",14.09.2015: kl 09:00-21:00,59.995467,11.108208,http://valglokaler.no/valglokale/asak-skole/,2015-06-30
66535,Samfunnshuset på Skedsmokorset,Akershus,Skedsmo,"Furuveien 1, 2020 Skedsmokorset",14.09.2015: kl 09:00-21:00,60.001454,11.040187,http://valglokaler.no/valglokale/samfunnshuset-pa-skedsmokorset/,2015-06-30
66536,Langhus skole,Akershus,Ski,"Bøhlerveien 4, 1405 Langhus","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.747098,10.839424,http://valglokaler.no/valglokale/langhus-skole/,2015-06-30
66537,Ski skole,Akershus,Ski,"Kirkevegen 21, 1400 Ski","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.721254,10.845577,http://valglokaler.no/valglokale/ski-skole/,2015-06-30
66538,Vevelstadåsen skole,Akershus,Ski,"Vevelstadåsen 30, 1405 Langhus","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.757249,10.848366,http://valglokaler.no/valglokale/vevelstadasen-skole/,2015-06-30
66539,Bøleråsen skole,Akershus,Ski,"Bølerkollen 2, 1405 Langhus","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.764809,10.855576,http://valglokaler.no/valglokale/bolerasen-skole/,2015-06-30
66540,Hebekk skole,Akershus,Ski,"Sørjordet 7, 1400 Ski","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.724781,10.833423,http://valglokaler.no/valglokale/hebekk-skole/,2015-06-30
66542,Finstad skole,Akershus,Ski,"Markveien 24, 1406 Ski","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.715628,10.821759,http://valglokaler.no/valglokale/finstad-skole-3/,2015-06-30
66543,Kråkstadhallen,Akershus,Ski,"Kråkstadveien 134, 1408 Kråkstad","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.677677,10.885029,http://valglokaler.no/valglokale/krakstadhallen/,2015-06-30
66545,Siggerudhallen,Akershus,Ski,"Gamle Siggerudvei 4, 1404 Siggerud","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.790040,10.887160,http://valglokaler.no/valglokale/siggerudhallen/,2015-06-30
66546,Fjuk skole,Akershus,Sørum,"Skåningsrudvegen 1, 1925 Blaker","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",59.991039,11.371031,http://valglokaler.no/valglokale/fjuk-skole/,2015-06-30
66547,Bingsfoss ungdomsskole,Akershus,Sørum,"Vendom 8, 1920 Sørumsand","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",59.988046,11.251983,http://valglokaler.no/valglokale/bingsfoss-ungdomsskole/,2015-06-30
66548,Sørum skole,Akershus,Sørum,"Bingenvegen 2-4, 1923 Sørum","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",60.010409,11.237029,http://valglokaler.no/valglokale/sorum-skole/,2015-06-30
66549,Haugtun skole,Akershus,Sørum,"Toreidvegen 19, 1925 Blaker","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",60.000442,11.317017,http://valglokaler.no/valglokale/haugtun-skole/,2015-06-30
66550,Vesterskaun skole,Akershus,Sørum,"Vilbergvegen 3, 2016 Frogner","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",60.021151,11.165882,http://valglokaler.no/valglokale/vesterskaun-skole/,2015-06-30
66552,Melvold ungdomsskole,Akershus,Sørum,"Trondheimsvegen 376, 2016 Frogner","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",60.025985,11.105360,http://valglokaler.no/valglokale/melvold-ungdomsskole/,2015-06-30
66555,Mogreina skole,Akershus,Ullensaker,2054 Mogreina,"13.09.2015: kl 15:00-20:00, 14.09.2015: kl 10:00-20:00",60.228668,11.16609,http://valglokaler.no/valglokale/mogreina-skole/,2015-07-03
66557,Hovin skole,Akershus,Ullensaker,"Krokfossvegen, 2067 Jessheim","13.09.2015: kl 15:00-20:00, 14.09.2015: kl 10:00-20:00",60.147556,11.127734,http://valglokaler.no/valglokale/hovin-skole/,2015-07-03
66558,Alfhallen,Akershus,Ullensaker,2040 Kløfta,"13.09.2015: kl 15:00-20:00, 14.09.2015: kl 10:00-20:00",60.09912,11.21806,http://valglokaler.no/valglokale/alfhallen/,2015-07-03
66559,Ullensaker rådhus,Akershus,Ullensaker,"Furusethgata 12, 2050 Jessheim","13.09.2015: kl 15:00-20:00, 14.09.2015: kl 10:00-20:00",60.143647,11.174705,http://valglokaler.no/valglokale/ullensaker-radhus/,2015-07-03
66560,Skogmo skole,Akershus,Ullensaker,"Gamle Algarheimsveg 200, 2052 Jessheim","13.09.2015: kl 15:00-20:00, 14.09.2015: kl 10:00-20:00",60.137386,11.200476,http://valglokaler.no/valglokale/skogmo-skole/,2015-07-03
66561,Nordkisa skole,Akershus,Ullensaker,"Anna Willersruds veg 12, 2055 Nordkisa","13.09.2015: kl 15:00-20:00, 14.09.2015: kl 10:00-20:00",60.189788,11.259184,http://valglokaler.no/valglokale/nordkisa-skole/,2015-07-03
66562,Algarheim skole,Akershus,Ullensaker,"Skolevegen 20, 2056 Algarheim","13.09.2015: kl 15:00-20:00, 14.09.2015: kl 10:00-20:00",60.144512,11.250794,http://valglokaler.no/valglokale/algarheim-skole/,2015-07-03
66563,Åreppen skole,Akershus,Ullensaker,"Trondheimsvegen 139, 2040 Kløfta","13.09.2015: kl 15:00-20:00, 14.09.2015: kl 10:00-20:00",60.085928,11.133549,http://valglokaler.no/valglokale/areppen-skole/,2015-07-03
66564,Grevlingen Flerbrukshall,Akershus,Vestby,"Sonsveien 55, 1555 Son","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.518691,10.701284,http://valglokaler.no/valglokale/grevlingen-flerbrukshall/,2015-06-30
66565,Brevik skole og Grendesenter,Akershus,Vestby,"Falkeveien 24, 1555 Son","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.505932,10.691071,http://valglokaler.no/valglokale/brevik-skole-og-grendesenter/,2015-06-30
66567,Risil Ungdomsskole,Akershus,Vestby,"Risilveien 85, 1540 Vestby","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.601573,10.714588,http://valglokaler.no/valglokale/risil-ungdomsskole/,2015-06-30
66568,Vestby rådhus,Akershus,Vestby,"Rådhusgaten 1, 1540 Vestby","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.601693,10.748089,http://valglokaler.no/valglokale/vestby-radhus/,2015-06-30
66569,Alvdal samfunnshus,Hedmark,Alvdal,2560 Alvdal,14.09.2015: kl 12:00-19:00,62.103601,10.637533,http://valglokaler.no/valglokale/alvdal-samfunnshus/,2015-06-30
66570,Sølnaslottet,Hedmark,Alvdal,2560 Alvdal,14.09.2015: kl 12:00-18:00,62.120684,10.560478,http://valglokaler.no/valglokale/solnaslottet/,2015-06-30
66571,Strandbu,Hedmark,Alvdal,2560 Alvdal,14.09.2015: kl 14:00-18:00,62.028916,10.784916,http://valglokaler.no/valglokale/strandbu/,2015-06-30
66573,Basheim,Hedmark,Alvdal,2560 Alvdal,14.09.2015: kl 12:00-18:00,62.202810,10.626614,http://valglokaler.no/valglokale/basheim/,2015-06-30
66574,Deset grendehus,Hedmark,Åmot,"Deset, 2450 Rena",14.09.2015: kl 09:00-14:00,61.30173736,11.46301850,http://valglokaler.no/valglokale/deset-grendehus/,2015-06-30
66576,Osvang samfunnshus,Hedmark,Åmot,2460 Osen,"13.09.2015: kl 15:00-18:00, 14.09.2015: kl 09:00-18:00",61.30231393,11.76593005,http://valglokaler.no/valglokale/osvang-samfunnshus/,2015-06-30
66577,Åmot kulturhus,Hedmark,Åmot,"Torget 1, 2450 Rena","13.09.2015: kl 15:00-20:00, 14.09.2015: kl 09:00-20:00",61.13210720,11.37334678,http://valglokaler.no/valglokale/amot-kulturhus/,2015-06-30
66578,Kilen skole,Hedmark,Åsnes,2283 Åsnes Finnskog,14.09.2015: kl 09:00-20:00,60.665,12.210,http://valglokaler.no/valglokale/kilen-skole/,2015-06-30
66580,Sønsterud skole,Hedmark,Åsnes,2280 Gjesåsen,14.09.2015: kl 09:00-20:00,60.6630126,12.07006449,http://valglokaler.no/valglokale/sonsterud-skole/,2015-06-30
66581,Åsnes rådhus,Hedmark,Åsnes,"Rådhusgata 1, 2270 Flisa",14.09.2015: kl 09:00-20:00,60.61399244,12.01153434,http://valglokaler.no/valglokale/asnes-radhus/,2015-06-30
66582,Åsnes opplæringssenter,Hedmark,Åsnes,2266 Arneberg,14.09.2015: kl 09:00-20:00,60.57732789,12.05111495,http://valglokaler.no/valglokale/asnes-opplaeringssenter/,2015-06-30
66583,Jara skole,Hedmark,Åsnes,2266 Arneberg,14.09.2015: kl 09:00-20:00,60.55392393,12.00431611,http://valglokaler.no/valglokale/jara-skole/,2015-06-30
66584,Vestmarka Samfunnshus,Hedmark,Eidskog,"Skillingmarkvegen 110, 2233 Vestmarka",14.09.2015: kl 12:00-20:00,59.926334,11.993196,http://valglokaler.no/valglokale/vestmarka-samfunnshus/,2015-06-30
66585,Tollefsbøl tidl. skole,Hedmark,Eidskog,"Tollefsbølvegen 39, 2232 Tobøl",14.09.2015: kl 12:00-20:00,59.972467,12.060913,http://valglokaler.no/valglokale/tollefsbol-tidl-skole/,2015-06-30
66586,Eidskog rådhus,Hedmark,Eidskog,"Rådhusvegen 7, 2230 Skotterud",14.09.2015: kl 10:00-21:00,59.985583,12.124645,http://valglokaler.no/valglokale/eidskog-radhus/,2015-06-30
66587,Magnor skole,Hedmark,Eidskog,"Skolevegen 86, 2240 Magnor",14.09.2015: kl 11:00-20:00,59.945479,12.171595,http://valglokaler.no/valglokale/magnor-skole/,2015-06-30
66589,Åbogen Bygdehus,Hedmark,Eidskog,"Svalevegen 5, 2220 Åbogen",14.09.2015: kl 12:00-20:00,60.114830,12.116536,http://valglokaler.no/valglokale/abogen-bygdehus/,2015-06-30
66590,Nevjen Grendehus,Hedmark,Eidskog,"Nessjøvegen 221, 2240 Magnor",14.09.2015: kl 12:00-20:00,59.969312,12.226629,http://valglokaler.no/valglokale/nevjen-grendehus/,2015-06-30
66591,Kirkestuen,Hedmark,Eidskog,"Matrandvegen 539, 2235 Matrand",14.09.2015: kl 12:00-20:00,60.030120,12.124223,http://valglokaler.no/valglokale/kirkestuen/,2015-06-30
66592,Bjølset grendehus,Hedmark,Elverum,"Vestsivegen 1628, 2411 Elverum",14.09.2015: kl 14:00-19:00,60.79189529,11.6947497,http://valglokaler.no/valglokale/bjolset-grendehus/,2015-06-30
66593,Langenga forsamlingslokale,Hedmark,Elverum,"Strandbygdvegen 866, 2411 Elverum",14.09.2015: kl 14:00-19:00,60.95095001,11.50483055,http://valglokaler.no/valglokale/langenga-forsamlingslokale/,2015-06-30
66594,Norvang,Hedmark,Elverum,"Hernesvegen 311, 2410 Hernes","13.09.2015: kl 14:00-18:00, 14.09.2015: kl 14:00-19:00",60.9260813,11.63565509,http://valglokaler.no/valglokale/norvang/,2015-06-30
66595,Skogvang,Hedmark,Elverum,"Julusdalsvegen 515, 2410 Hernes",14.09.2015: kl 14:00-19:00,61.03295279,11.72130555,http://valglokaler.no/valglokale/skogvang/,2015-06-30
66596,Vestsiden grendehus,Hedmark,Elverum,"Vestsiveien 806, 2411 Elverum",14.09.2015: kl 14:00-19:00,60.82383382,11.60788995,http://valglokaler.no/valglokale/vestsiden-grendehus/,2015-06-30
66597,Jømnvang,Hedmark,Elverum,"Kverndalsvegen 23, 2416 Jømna",14.09.2015: kl 14:00-19:00,60.80708611,11.70522039,http://valglokaler.no/valglokale/jomnvang/,2015-06-30
66598,Bergheim skolehus,Hedmark,Elverum,"Bergeberget 159, 2410 Hernes",14.09.2015: kl 14:00-19:00,61.00727031,11.78771671,http://valglokaler.no/valglokale/bergheim-skolehus/,2015-06-30
66599,Vestad skole,Hedmark,Elverum,"Grønvegen 16, 2406 Elverum","13.09.2015: kl 14:00-18:00, 14.09.2015: kl 09:00-21:00",60.88636687,11.53941873,http://valglokaler.no/valglokale/vestad-skole/,2015-06-30
66600,Sørskogbygda samfunnshus,Hedmark,Elverum,"Sørskogbygdvegen 632, 2412 Sørskogbygda","13.09.2015: kl 14:00-18:00, 14.09.2015: kl 14:00-19:00",60.94283934,11.77736988,http://valglokaler.no/valglokale/sorskogbygda-samfunnshus/,2015-06-30
66601,Kynnberget grendehus,Hedmark,Elverum,"Sørskogbygdvegen 1145, 2412 Sørskogbygda",14.09.2015: kl 14:00-19:00,60.95035834,11.85352778,http://valglokaler.no/valglokale/kynnberget-grendehus/,2015-06-30
66602,Øksna- Rustad Vel,Hedmark,Elverum,"Trondheimsvegen 1700, 2411 Elverum",14.09.2015: kl 14:00-19:00,61.01275985,11.39602479,http://valglokaler.no/valglokale/oksna-rustad-vel/,2015-06-30
66603,Elverumshallen,Hedmark,Elverum,"Torggta 18, 2408 Elverum","13.09.2015: kl 14:00-18:00, 14.09.2015: kl 09:00-21:00",60.8857536,11.55996726,http://valglokaler.no/valglokale/elverumshallen/,2015-06-30
66604,Heradstun,Hedmark,Elverum,"Solørvegen 889, 2415 Heradsbygd","13.09.2015: kl 14:00-18:00, 14.09.2015: kl 14:00-19:00",60.82148436,11.64107049,http://valglokaler.no/valglokale/heradstun/,2015-06-30
66606,Høyvang,Hedmark,Elverum,"Sørskogbygdvegen 1882, 2412 Sørskogbygda",14.09.2015: kl 14:00-19:00,60.91351477,11.95826197,http://valglokaler.no/valglokale/hoyvang/,2015-06-30
66607,Kirkeby skole,Hedmark,Elverum,"Nordskogbygdvegen 473, 2410 Hernes",14.09.2015: kl 14:00-19:00,60.99153334,11.69668611,http://valglokaler.no/valglokale/kirkeby-skole/,2015-06-30
66608,Tune,Hedmark,Engerdal,"Sundveien 900, 2440 Engerdal",14.09.2015: kl 10:00-17:00,61.8267936707,11.7195196152,http://valglokaler.no/valglokale/tune/,2015-06-30
66611,Kommunehuset Enger,Hedmark,Engerdal,"Engerdalsveien 1794, 2440 Engerdal","13.09.2015: kl 14:00-20:00, 14.09.2015: kl 10:00-17:00",61.758322,11.959863,http://valglokaler.no/valglokale/kommunehuset-enger/,2015-06-30
66612,Fjellvang,Hedmark,Engerdal,"Moalia 9, 2443 Drevsjø",14.09.2015: kl 10:00-17:00,61.8905601501,12.0324821472,http://valglokaler.no/valglokale/fjellvang/,2015-06-30
66613,Elgå samfunnhus,Hedmark,Engerdal,"Femundveien 3639, 2446 Elgå",14.09.2015: kl 10:00-17:00,62.1653327942,11.9445447922,http://valglokaler.no/valglokale/elga-samfunnhus/,2015-06-30
66614,Skogtun,Hedmark,Engerdal,"Langsjøveien 5, 2448 Sømådal",14.09.2015: kl 10:00-17:00,62.0969085693,11.6507349014,http://valglokaler.no/valglokale/skogtun/,2015-06-30
66615,Folldal Flerbrukshus,Hedmark,Folldal,"Folldalsvegen 2793, 2580 Folldal","13.09.2015: kl 13:00-16:00, 14.09.2015: kl 09:00-18:00",62.13271,9.98539,http://valglokaler.no/valglokale/folldal-flerbrukshus/,2015-06-30
66617,Grinder skole – samfunnssalen,Hedmark,Grue,2264 Grinder,"13.09.2015: kl 15:00-18:00, 14.09.2015: kl 12:00-18:00",60.4037,12.0439,http://valglokaler.no/valglokale/grinder-skole-samfunnssalen/,2015-06-30
66618,Namnå barnehage – samfunnssalen,Hedmark,Grue,2265 Namnå,"13.09.2015: kl 15:00-18:00, 14.09.2015: kl 12:00-18:00",60.4995,12.0745,http://valglokaler.no/valglokale/namna-barnehage-samfunnssalen/,2015-06-30
66621,Grue rådhus,Hedmark,Grue,2260 Kirkenær,"13.09.2015: kl 15:00-18:00, 14.09.2015: kl 12:00-20:00",60.4516,12.0551,http://valglokaler.no/valglokale/grue-radhus/,2015-06-30
66622,Refset skole – samfunnssalen,Hedmark,Grue,2260 Kirkenær,"13.09.2015: kl 15:00-18:00, 14.09.2015: kl 12:00-18:00",60.4675,12.0134,http://valglokaler.no/valglokale/refset-skole-samfunnssalen/,2015-06-30
66623,Svullrya skole,Hedmark,Grue,2256 Grue Finnskog,"13.09.2015: kl 15:00-18:00, 14.09.2015: kl 12:00-18:00",60.4213,12.3978,http://valglokaler.no/valglokale/svullrya-skole/,2015-06-30
66626,Storhamar skole,Hedmark,Hamar,"Fredrik Monsens gate 52, 2315 Hamar",14.09.2015: kl 09:00-21:00,60.801239,11.051226,http://valglokaler.no/valglokale/storhamar-skole/,2015-06-30
66629,Ajer ungdomsskole,Hedmark,Hamar,"Ringgata 233, 2316 Hamar",14.09.2015: kl 09:00-21:00,60.805528,11.057233,http://valglokaler.no/valglokale/ajer-ungdomsskole/,2015-06-30
66631,Lovisenberg skole,Hedmark,Hamar,"Frogervegen 105, 2322 Ridabu",14.09.2015: kl 09:00-21:00,60.795615,11.165578,http://valglokaler.no/valglokale/lovisenberg-skole/,2015-06-30
66633,Hamar rådhus,Hedmark,Hamar,"Vangsvegen 51, 2317 Hamar",14.09.2015: kl 09:00-21:00,60.794502,11.078704,http://valglokaler.no/valglokale/hamar-radhus/,2015-06-30
66634,Lunden skole,Hedmark,Hamar,"Midtvangvegen 575, 2324 Vang på Hedmark",14.09.2015: kl 09:00-21:00,60.838491,11.197125,http://valglokaler.no/valglokale/lunden-skole/,2015-06-30
