navn,sum-operator,sum-myndighet,avvik-operator,avvik-myndighet,avklart,uavklart
A/S Norske Shell,19742,18150,16519,-14927,1592,0 
BG Norge AS,3751,3889,5,-143,-138,0 
BP Norge AS,0,1990,-1990,0,-1990,0 
DONG E&P Norge AS,2101,0,2101,0,2101,0 
Eni Norge AS,8761,5684,0,3077,3077,0 
ExxonMobil Exploration & Production Norway AS,0,640,-640,0,-640,0 
Nexen Exploration Norge AS,589,589,0,0,0,0 
Norwegian Energy Company ASA,241,241,0,0,0,0 
OMV (Norge) AS,403,403,0,0,0,0 
Rocksource ASA,0,245,-245,0,-245,0 
Suncor Energy Norge AS,11,0,11,0,11,0 
Talisman Energy Norge AS,10228,7561,0,2667,2667,0 
Total E&P Norge AS,1551,0,0,1551,1551,0 
VNG Norge AS,0,39,-39,0,-39,0 
Delsum,47378,39431,15722,-7775,7947,0 
Non licensee â€“ reported  by the Directorate of Customs and Excise,0,-544,0,544,544,0 

